From Id	To Id	Tx	Meta
1	0	0.126557	 TCP 49153 > 1000 ACK Seq=6969 Ack=1 Win=32768
1	0	0.127029	 TCP 49153 > 1000 ACK Seq=7505 Ack=1 Win=32768
0	2	0.135052	 TCP 49153 > 1000 ACK Seq=4825 Ack=1 Win=32768
0	2	0.135524	 TCP 49153 > 1000 ACK Seq=5361 Ack=1 Win=32768
0	2	0.135996	 TCP 49153 > 1000 ACK Seq=5897 Ack=1 Win=32768
0	2	0.136468	 TCP 49153 > 1000 ACK Seq=6433 Ack=1 Win=32768
0	3	0.136511	 TCP 49153 > 8080 ACK Seq=1 Ack=1 Win=32768
0	3	0.136557	 TCP 49153 > 8080 ACK Seq=1 Ack=1 Win=32768
2	0	0.136571	 TCP 1000 > 49153 ACK Seq=1 Ack=5897 Win=32768
0	2	0.137029	 TCP 49153 > 1000 ACK Seq=6969 Ack=1 Win=32768
0	2	0.137501	 TCP 49153 > 1000 ACK Seq=7505 Ack=1 Win=32768
2	0	0.137515	 TCP 1000 > 49153 ACK Seq=1 Ack=6969 Win=32768
3	0	0.137562	 TCP 8080 > 49153 ACK Seq=1 Ack=5 Win=32768
3	0	0.137566	 TCP 8080 > 49153 ACK Seq=1 Ack=5 Win=32768
0	1	0.137575	 TCP 1000 > 49153 ACK Seq=1 Ack=5897 Win=32768
0	1	0.138519	 TCP 1000 > 49153 ACK Seq=1 Ack=6969 Win=32768
2	0	0.138549	 TCP 1000 > 49153 ACK Seq=1 Ack=8041 Win=32768
0	1	0.138566	 TCP 8080 > 49153 ACK Seq=1 Ack=5 Win=32768
0	1	0.138614	 TCP 8080 > 49153 ACK Seq=1 Ack=5 Win=32768
0	1	0.139553	 TCP 1000 > 49153 ACK Seq=1 Ack=8041 Win=32768
1	4	0.147619	 TCP 1000 > 49153 ACK Seq=1 Ack=5897 Win=32768
1	4	0.148563	 TCP 1000 > 49153 ACK Seq=1 Ack=6969 Win=32768
1	5	0.14861	 TCP 8080 > 49153 ACK Seq=1 Ack=5 Win=32768
4	1	0.148623	 TCP 49153 > 1000 ACK Seq=8041 Ack=1 Win=32768
4	1	0.14867	 TCP 49153 > 1000 ACK Seq=8577 Ack=1 Win=32768
4	1	0.148717	 TCP 49153 > 1000 ACK Seq=9113 Ack=1 Win=32768
1	5	0.149086	 TCP 8080 > 49153 ACK Seq=1 Ack=5 Win=32768
4	1	0.149567	 TCP 49153 > 1000 ACK Seq=9649 Ack=1 Win=32768
1	4	0.149596	 TCP 1000 > 49153 ACK Seq=1 Ack=8041 Win=32768
4	1	0.149614	 TCP 49153 > 1000 ACK Seq=10185 Ack=1 Win=32768
4	1	0.149661	 TCP 49153 > 1000 ACK Seq=10721 Ack=1 Win=32768
1	0	0.14967	 TCP 49153 > 1000 ACK Seq=8041 Ack=1 Win=32768
5	1	0.150133	 TCP 49153 > 8080 ACK Seq=5 Ack=537 Win=32768
1	0	0.150142	 TCP 49153 > 1000 ACK Seq=8577 Ack=1 Win=32768
