From Id	To Id	Tx	Meta
1	13	5.00001	 UDP 49153 > 8100
11	0	5.00002	 UDP 49153 > 8090
0	1	5.00006	 UDP 49153 > 8100
3	0	5.00008	 UDP 49153 > 8100
1	13	5.00009	 UDP 49153 > 8100
0	1	5.0001	 UDP 49153 > 8100
11	0	5.00012	 UDP 49153 > 8090
0	1	5.00014	 UDP 49153 > 8090
3	0	5.00016	 UDP 49153 > 8100
1	13	5.00017	 UDP 49153 > 8100
0	1	5.00021	 UDP 49153 > 8100
11	0	5.00022	 UDP 49153 > 8090
3	0	5.00024	 UDP 49153 > 8100
0	1	5.00025	 UDP 49153 > 8090
1	13	5.00025	 UDP 49153 > 8100
11	0	5.00032	 UDP 49153 > 8090
0	1	5.00032	 UDP 49153 > 8100
3	0	5.00033	 UDP 49153 > 8100
1	13	5.00034	 UDP 49153 > 8100
0	1	5.00036	 UDP 49153 > 8090
3	0	5.00041	 UDP 49153 > 8100
11	0	5.00042	 UDP 49153 > 8090
1	13	5.00042	 UDP 49153 > 8100
0	1	5.00043	 UDP 49153 > 8100
0	1	5.00047	 UDP 49153 > 8090
3	0	5.00049	 UDP 49153 > 8100
1	13	5.0005	 UDP 49153 > 8100
11	0	5.00052	 UDP 49153 > 8090
0	1	5.00054	 UDP 49153 > 8100
3	0	5.00057	 UDP 49153 > 8100
1	13	5.00058	 UDP 49153 > 8100
0	1	5.00058	 UDP 49153 > 8100
11	0	5.00062	 UDP 49153 > 8090
0	1	5.00063	 UDP 49153 > 8090
3	0	5.00065	 UDP 49153 > 8100
1	13	5.00066	 UDP 49153 > 8100
0	1	5.00069	 UDP 49153 > 8100
11	0	5.00072	 UDP 49153 > 8090
3	0	5.00073	 UDP 49153 > 8100
0	1	5.00074	 UDP 49153 > 8090
1	13	5.00075	 UDP 49153 > 8100
0	1	5.0008	 UDP 49153 > 8100
11	0	5.00082	 UDP 49153 > 8090
3	0	5.00082	 UDP 49153 > 8100
1	13	5.00083	 UDP 49153 > 8100
