From Id	To Id	Tx	Meta
3	0	0.0121632	 UDP 49153 > 8090
3	0	0.0124632	 UDP 49153 > 8090
3	0	0.0127632	 UDP 49153 > 8090
3	0	0.0130632	 UDP 49153 > 8090
0	1	0.0132216	 UDP 49153 > 8090
3	0	0.0133632	 UDP 49153 > 8090
3	0	0.0136632	 UDP 49153 > 8090
0	1	0.0138056	 UDP 49153 > 8090
3	0	0.0139632	 UDP 49153 > 8090
3	0	0.0142632	 UDP 49153 > 8090
0	1	0.0143896	 UDP 49153 > 8090
3	0	0.0145632	 UDP 49153 > 8090
3	0	0.0148632	 UDP 49153 > 8090
0	1	0.0149736	 UDP 49153 > 8090
3	0	0.0151632	 UDP 49153 > 8090
3	0	0.0154632	 UDP 49153 > 8090
0	1	0.0155576	 UDP 49153 > 8090
3	0	0.0157632	 UDP 49153 > 8090
1	5	0.0158056	 UDP 49153 > 8090
3	0	0.0160632	 UDP 49153 > 8090
0	1	0.0161416	 UDP 49153 > 8090
3	0	0.0163632	 UDP 49153 > 8090
1	5	0.0163896	 UDP 49153 > 8090
3	0	0.0166632	 UDP 49153 > 8090
0	1	0.0167256	 UDP 49153 > 8090
3	0	0.0169632	 UDP 49153 > 8090
1	5	0.0169736	 UDP 49153 > 8090
3	0	0.0172632	 UDP 49153 > 8090
0	1	0.0173096	 UDP 49153 > 8090
1	5	0.0175576	 UDP 49153 > 8090
3	0	0.0175632	 UDP 49153 > 8090
3	0	0.0178632	 UDP 49153 > 8090
0	1	0.0178936	 UDP 49153 > 8090
1	5	0.0181416	 UDP 49153 > 8090
3	0	0.0181632	 UDP 49153 > 8090
3	0	0.0184632	 UDP 49153 > 8090
0	1	0.0184776	 UDP 49153 > 8090
1	5	0.0187256	 UDP 49153 > 8090
3	0	0.0187632	 UDP 49153 > 8090
0	1	0.0190616	 UDP 49153 > 8090
3	0	0.0190632	 UDP 49153 > 8090
1	5	0.0193096	 UDP 49153 > 8090
3	0	0.0193632	 UDP 49153 > 8090
0	1	0.0196456	 UDP 49153 > 8090
3	0	0.0196632	 UDP 49153 > 8090
1	5	0.0198936	 UDP 49153 > 8090
3	0	0.0199632	 UDP 49153 > 8090
0	1	0.0202296	 UDP 49153 > 8090
3	0	0.0202632	 UDP 49153 > 8090
1	5	0.0204776	 UDP 49153 > 8090
3	0	0.0205632	 UDP 49153 > 8090
0	1	0.0208136	 UDP 49153 > 8090
3	0	0.0208632	 UDP 49153 > 8090
1	5	0.0210616	 UDP 49153 > 8090
3	0	0.0211632	 UDP 49153 > 8090
0	1	0.0213976	 UDP 49153 > 8090
3	0	0.0214632	 UDP 49153 > 8090
2	0	0.0216	 UDP 49153 > 8100
1	5	0.0216456	 UDP 49153 > 8090
3	0	0.0217632	 UDP 49153 > 8090
0	1	0.0219816	 UDP 49153 > 8090
3	0	0.0220632	 UDP 49153 > 8090
1	5	0.0222296	 UDP 49153 > 8090
3	0	0.0223632	 UDP 49153 > 8090
0	1	0.0225656	 UDP 49153 > 8090
3	0	0.0226632	 UDP 49153 > 8090
1	5	0.0228136	 UDP 49153 > 8090
3	0	0.0229632	 UDP 49153 > 8090
0	1	0.0231496	 UDP 49153 > 8090
2	0	0.0232	 UDP 49153 > 8100
3	0	0.0232632	 UDP 49153 > 8090
1	5	0.0233976	 UDP 49153 > 8090
3	0	0.0235632	 UDP 49153 > 8090
0	1	0.0237336	 UDP 49153 > 8090
3	0	0.0238632	 UDP 49153 > 8090
1	5	0.0239816	 UDP 49153 > 8090
3	0	0.0241632	 UDP 49153 > 8090
0	1	0.0243176	 UDP 49153 > 8090
3	0	0.0244632	 UDP 49153 > 8090
1	5	0.0245656	 UDP 49153 > 8090
3	0	0.0247632	 UDP 49153 > 8090
2	0	0.0248	 UDP 49153 > 8100
0	1	0.0249016	 UDP 49153 > 8090
3	0	0.0250632	 UDP 49153 > 8090
1	5	0.0251496	 UDP 49153 > 8090
3	0	0.0253632	 UDP 49153 > 8090
0	1	0.0254856	 UDP 49153 > 8090
3	0	0.0256632	 UDP 49153 > 8090
1	5	0.0257336	 UDP 49153 > 8090
3	0	0.0259632	 UDP 49153 > 8090
0	1	0.0260696	 UDP 49153 > 8090
3	0	0.0262632	 UDP 49153 > 8090
1	5	0.0263176	 UDP 49153 > 8090
2	0	0.0264	 UDP 49153 > 8100
3	0	0.0265632	 UDP 49153 > 8090
0	1	0.0266536	 UDP 49153 > 8090
3	0	0.0268632	 UDP 49153 > 8090
1	5	0.0269016	 UDP 49153 > 8090
3	0	0.0271632	 UDP 49153 > 8090
0	1	0.0272376	 UDP 49153 > 8090
3	0	0.0274632	 UDP 49153 > 8090
1	5	0.0274856	 UDP 49153 > 8090
3	0	0.0277632	 UDP 49153 > 8090
0	1	0.0278216	 UDP 49153 > 8090
2	0	0.028	 UDP 49153 > 8100
3	0	0.0280632	 UDP 49153 > 8090
1	5	0.0280696	 UDP 49153 > 8090
3	0	0.0283632	 UDP 49153 > 8090
0	1	0.0284056	 UDP 49153 > 8090
1	5	0.0286536	 UDP 49153 > 8090
3	0	0.0286632	 UDP 49153 > 8090
3	0	0.0289632	 UDP 49153 > 8090
0	1	0.0289896	 UDP 49153 > 8090
1	5	0.0292376	 UDP 49153 > 8090
3	0	0.0292632	 UDP 49153 > 8090
3	0	0.0295632	 UDP 49153 > 8090
0	1	0.0295736	 UDP 49153 > 8090
2	0	0.0296	 UDP 49153 > 8100
1	5	0.0298216	 UDP 49153 > 8090
3	0	0.0298632	 UDP 49153 > 8090
0	1	0.0301576	 UDP 49153 > 8090
1	5	0.0304056	 UDP 49153 > 8090
3	0	0.0304632	 UDP 49153 > 8090
0	1	0.0307416	 UDP 49153 > 8090
3	0	0.0307632	 UDP 49153 > 8090
1	5	0.0309896	 UDP 49153 > 8090
3	0	0.0310632	 UDP 49153 > 8090
2	0	0.0312	 UDP 49153 > 8100
0	1	0.0313256	 UDP 49153 > 8090
3	0	0.0313632	 UDP 49153 > 8090
1	5	0.0315736	 UDP 49153 > 8090
3	0	0.0316632	 UDP 49153 > 8090
0	1	0.0319096	 UDP 49153 > 8100
3	0	0.0319632	 UDP 49153 > 8090
1	5	0.0321576	 UDP 49153 > 8090
3	0	0.0322632	 UDP 49153 > 8090
3	0	0.0325632	 UDP 49153 > 8090
1	5	0.0327416	 UDP 49153 > 8090
2	0	0.0328	 UDP 49153 > 8100
3	0	0.0328632	 UDP 49153 > 8090
0	1	0.0330536	 UDP 49153 > 8090
3	0	0.0331632	 UDP 49153 > 8090
1	5	0.0333256	 UDP 49153 > 8090
3	0	0.0334632	 UDP 49153 > 8090
0	1	0.0336376	 UDP 49153 > 8090
3	0	0.0337632	 UDP 49153 > 8090
1	5	0.0339096	 UDP 49153 > 8090
3	0	0.0340632	 UDP 49153 > 8090
0	1	0.0342216	 UDP 49153 > 8090
3	0	0.0343632	 UDP 49153 > 8090
2	0	0.0344	 UDP 49153 > 8100
3	0	0.0346632	 UDP 49153 > 8090
0	1	0.0348056	 UDP 49153 > 8090
3	0	0.0349632	 UDP 49153 > 8090
1	4	0.0350536	 UDP 49153 > 8100
3	0	0.0352632	 UDP 49153 > 8090
0	1	0.0353896	 UDP 49153 > 8090
3	0	0.0355632	 UDP 49153 > 8090
1	5	0.0356376	 UDP 49153 > 8090
3	0	0.0358632	 UDP 49153 > 8090
0	1	0.0359736	 UDP 49153 > 8100
2	0	0.036	 UDP 49153 > 8100
3	0	0.0361632	 UDP 49153 > 8090
1	5	0.0362216	 UDP 49153 > 8090
3	0	0.0364632	 UDP 49153 > 8090
3	0	0.0367632	 UDP 49153 > 8090
1	5	0.0368056	 UDP 49153 > 8090
3	0	0.0370632	 UDP 49153 > 8090
0	1	0.0371176	 UDP 49153 > 8090
3	0	0.0373632	 UDP 49153 > 8090
1	5	0.0373896	 UDP 49153 > 8090
2	0	0.0376	 UDP 49153 > 8100
3	0	0.0376632	 UDP 49153 > 8090
0	1	0.0377016	 UDP 49153 > 8090
3	0	0.0379632	 UDP 49153 > 8090
1	5	0.0379736	 UDP 49153 > 8090
3	0	0.0382632	 UDP 49153 > 8090
0	1	0.0382856	 UDP 49153 > 8090
3	0	0.0385632	 UDP 49153 > 8090
3	0	0.0388632	 UDP 49153 > 8090
0	1	0.0388696	 UDP 49153 > 8090
1	4	0.0391176	 UDP 49153 > 8100
3	0	0.0391632	 UDP 49153 > 8090
2	0	0.0392	 UDP 49153 > 8100
0	1	0.0394536	 UDP 49153 > 8090
3	0	0.0394632	 UDP 49153 > 8090
1	5	0.0397016	 UDP 49153 > 8090
3	0	0.0397632	 UDP 49153 > 8090
0	1	0.0400375	 UDP 49153 > 8090
3	0	0.0400632	 UDP 49153 > 8090
1	5	0.0402856	 UDP 49153 > 8090
3	0	0.0403632	 UDP 49153 > 8090
0	1	0.0406215	 UDP 49153 > 8100
3	0	0.0406632	 UDP 49153 > 8090
2	0	0.0408	 UDP 49153 > 8100
1	5	0.0408696	 UDP 49153 > 8090
3	0	0.0409632	 UDP 49153 > 8090
3	0	0.0412632	 UDP 49153 > 8090
1	5	0.0414536	 UDP 49153 > 8090
3	0	0.0415632	 UDP 49153 > 8090
0	1	0.0417655	 UDP 49153 > 8090
3	0	0.0418632	 UDP 49153 > 8090
1	5	0.0420375	 UDP 49153 > 8090
3	0	0.0421632	 UDP 49153 > 8090
0	1	0.0423495	 UDP 49153 > 8090
2	0	0.0424	 UDP 49153 > 8100
3	0	0.0424632	 UDP 49153 > 8090
1	5	0.0426215	 UDP 49153 > 8090
3	0	0.0427632	 UDP 49153 > 8090
0	1	0.0429335	 UDP 49153 > 8090
3	0	0.0430632	 UDP 49153 > 8090
3	0	0.0433632	 UDP 49153 > 8090
0	1	0.0435175	 UDP 49153 > 8090
3	0	0.0436632	 UDP 49153 > 8090
1	4	0.0437655	 UDP 49153 > 8100
3	0	0.0439632	 UDP 49153 > 8090
2	0	0.044	 UDP 49153 > 8100
0	1	0.0441015	 UDP 49153 > 8090
3	0	0.0442632	 UDP 49153 > 8090
1	5	0.0443495	 UDP 49153 > 8090
3	0	0.0445632	 UDP 49153 > 8090
0	1	0.0446855	 UDP 49153 > 8100
3	0	0.0448632	 UDP 49153 > 8090
1	5	0.0449335	 UDP 49153 > 8090
3	0	0.0451632	 UDP 49153 > 8090
3	0	0.0454632	 UDP 49153 > 8090
1	5	0.0455175	 UDP 49153 > 8090
2	0	0.0456	 UDP 49153 > 8100
3	0	0.0457632	 UDP 49153 > 8090
0	1	0.0458295	 UDP 49153 > 8090
3	0	0.0460632	 UDP 49153 > 8090
1	5	0.0461015	 UDP 49153 > 8090
3	0	0.0463632	 UDP 49153 > 8090
0	1	0.0464135	 UDP 49153 > 8090
3	0	0.0466632	 UDP 49153 > 8090
1	5	0.0466855	 UDP 49153 > 8090
3	0	0.0469632	 UDP 49153 > 8090
0	1	0.0469975	 UDP 49153 > 8090
2	0	0.0472	 UDP 49153 > 8100
3	0	0.0472632	 UDP 49153 > 8090
