From Id	To Id	Tx	Meta
0	1	0.300181	 UDP 49153 > 8100
1	4	0.300331	 UDP 49153 > 8100
2	0	0.300416	 UDP 49153 > 8100
0	1	0.300598	 UDP 49153 > 8100
1	4	0.300748	 UDP 49153 > 8100
2	0	0.300833	 UDP 49153 > 8100
0	1	0.301015	 UDP 49153 > 8100
1	4	0.301165	 UDP 49153 > 8100
2	0	0.30125	 UDP 49153 > 8100
0	1	0.301431	 UDP 49153 > 8100
1	4	0.301581	 UDP 49153 > 8100
2	0	0.301666	 UDP 49153 > 8100
0	1	0.301848	 UDP 49153 > 8100
1	4	0.301998	 UDP 49153 > 8100
2	0	0.302083	 UDP 49153 > 8100
0	1	0.302265	 UDP 49153 > 8100
1	4	0.302415	 UDP 49153 > 8100
2	0	0.3025	 UDP 49153 > 8100
0	1	0.302681	 UDP 49153 > 8100
1	4	0.302831	 UDP 49153 > 8100
2	0	0.302916	 UDP 49153 > 8100
0	1	0.303098	 UDP 49153 > 8100
1	4	0.303248	 UDP 49153 > 8100
2	0	0.303333	 UDP 49153 > 8100
0	1	0.303515	 UDP 49153 > 8100
1	4	0.303665	 UDP 49153 > 8100
2	0	0.30375	 UDP 49153 > 8100
0	1	0.303931	 UDP 49153 > 8100
1	4	0.304081	 UDP 49153 > 8100
2	0	0.304166	 UDP 49153 > 8100
0	1	0.304348	 UDP 49153 > 8100
1	4	0.304498	 UDP 49153 > 8100
2	0	0.304583	 UDP 49153 > 8100
0	1	0.304765	 UDP 49153 > 8100
1	4	0.304915	 UDP 49153 > 8100
2	0	0.305	 UDP 49153 > 8100
0	1	0.305181	 UDP 49153 > 8100
1	4	0.305331	 UDP 49153 > 8100
2	0	0.305416	 UDP 49153 > 8100
0	1	0.305598	 UDP 49153 > 8100
1	4	0.305748	 UDP 49153 > 8100
2	0	0.305833	 UDP 49153 > 8100
0	1	0.306015	 UDP 49153 > 8100
1	4	0.306165	 UDP 49153 > 8100
2	0	0.30625	 UDP 49153 > 8100
0	1	0.306431	 UDP 49153 > 8100
1	4	0.306581	 UDP 49153 > 8100
2	0	0.306666	 UDP 49153 > 8100
0	1	0.306848	 UDP 49153 > 8100
1	4	0.306998	 UDP 49153 > 8100
2	0	0.307083	 UDP 49153 > 8100
0	1	0.307265	 UDP 49153 > 8100
1	4	0.307415	 UDP 49153 > 8100
2	0	0.3075	 UDP 49153 > 8100
0	1	0.307681	 UDP 49153 > 8100
1	4	0.307831	 UDP 49153 > 8100
2	0	0.307916	 UDP 49153 > 8100
0	1	0.308098	 UDP 49153 > 8100
1	4	0.308248	 UDP 49153 > 8100
2	0	0.308333	 UDP 49153 > 8100
0	1	0.308515	 UDP 49153 > 8100
1	4	0.308665	 UDP 49153 > 8100
2	0	0.30875	 UDP 49153 > 8100
0	1	0.308931	 UDP 49153 > 8100
1	4	0.309081	 UDP 49153 > 8100
2	0	0.309166	 UDP 49153 > 8100
0	1	0.309348	 UDP 49153 > 8100
1	4	0.309498	 UDP 49153 > 8100
2	0	0.309583	 UDP 49153 > 8100
0	1	0.309765	 UDP 49153 > 8100
1	4	0.309915	 UDP 49153 > 8100
2	0	0.31	 UDP 49153 > 8100
0	1	0.310181	 UDP 49153 > 8100
1	4	0.310331	 UDP 49153 > 8100
2	0	0.310416	 UDP 49153 > 8100
0	1	0.310598	 UDP 49153 > 8100
1	4	0.310748	 UDP 49153 > 8100
2	0	0.310833	 UDP 49153 > 8100
0	1	0.311015	 UDP 49153 > 8100
