From Id	To Id	Tx	Meta
0	1	0.022265	 UDP 49153 > 8100
1	4	0.0224152	 UDP 49153 > 8100
2	0	0.0225	 UDP 49153 > 8100
0	1	0.0226817	 UDP 49153 > 8100
1	4	0.0228319	 UDP 49153 > 8100
2	0	0.0229166	 UDP 49153 > 8100
1	5	0.0230133	 TCP 8080 > 49153 SYN|ACK Seq=0 Ack=1 Win=65535
0	1	0.0230983	 UDP 49153 > 8100
1	4	0.0232485	 UDP 49153 > 8100
2	0	0.0233333	 UDP 49153 > 8100
0	1	0.023515	 UDP 49153 > 8100
1	4	0.0236652	 UDP 49153 > 8100
2	0	0.02375	 UDP 49153 > 8100
0	1	0.0239316	 UDP 49153 > 8100
5	1	0.0240139	 TCP 49153 > 8080 ACK Seq=1 Ack=1 Win=32768
1	4	0.0240819	 UDP 49153 > 8100
2	0	0.0241666	 UDP 49153 > 8100
0	1	0.0243483	 UDP 49153 > 8100
1	4	0.0244985	 UDP 49153 > 8100
2	0	0.0245833	 UDP 49153 > 8100
0	1	0.024765	 UDP 49153 > 8100
1	4	0.0249152	 UDP 49153 > 8100
2	0	0.025	 UDP 49153 > 8100
1	0	0.0250145	 TCP 49153 > 8080 ACK Seq=1 Ack=1 Win=32768
0	1	0.0251816	 UDP 49153 > 8100
1	4	0.0253319	 UDP 49153 > 8100
2	0	0.0254166	 UDP 49153 > 8100
0	1	0.0255983	 UDP 49153 > 8100
1	4	0.0257485	 UDP 49153 > 8100
2	0	0.0258333	 UDP 49153 > 8100
0	1	0.026015	 UDP 49153 > 8100
1	4	0.0261652	 UDP 49153 > 8100
2	0	0.02625	 UDP 49153 > 8100
0	1	0.0264316	 UDP 49153 > 8100
1	4	0.0265819	 UDP 49153 > 8100
2	0	0.0266666	 UDP 49153 > 8100
0	1	0.0268483	 UDP 49153 > 8100
1	4	0.0269985	 UDP 49153 > 8100
2	0	0.0270833	 UDP 49153 > 8100
0	1	0.027265	 UDP 49153 > 8100
1	4	0.0274152	 UDP 49153 > 8100
2	0	0.0275	 UDP 49153 > 8100
0	1	0.0276816	 UDP 49153 > 8100
1	4	0.0278319	 UDP 49153 > 8100
2	0	0.0279166	 UDP 49153 > 8100
0	1	0.0280983	 UDP 49153 > 8100
1	4	0.0282485	 UDP 49153 > 8100
2	0	0.0283333	 UDP 49153 > 8100
0	1	0.028515	 UDP 49153 > 8100
1	4	0.0286652	 UDP 49153 > 8100
2	0	0.02875	 UDP 49153 > 8100
0	1	0.0289316	 UDP 49153 > 8100
1	4	0.0290819	 UDP 49153 > 8100
2	0	0.0291666	 UDP 49153 > 8100
0	1	0.0293483	 UDP 49153 > 8100
1	4	0.0294985	 UDP 49153 > 8100
2	0	0.0295833	 UDP 49153 > 8100
0	1	0.029765	 UDP 49153 > 8100
1	4	0.0299152	 UDP 49153 > 8100
2	0	0.03	 UDP 49153 > 8100
0	1	0.0301816	 UDP 49153 > 8100
1	4	0.0303319	 UDP 49153 > 8100
2	0	0.0304166	 UDP 49153 > 8100
0	1	0.0305983	 UDP 49153 > 8100
1	4	0.0307485	 UDP 49153 > 8100
2	0	0.0308333	 UDP 49153 > 8100
0	1	0.031015	 UDP 49153 > 8100
1	4	0.0311652	 UDP 49153 > 8100
2	0	0.0312499	 UDP 49153 > 8100
0	1	0.0314316	 UDP 49153 > 8100
1	4	0.0315819	 UDP 49153 > 8100
2	0	0.0316666	 UDP 49153 > 8100
0	1	0.0318483	 UDP 49153 > 8100
1	4	0.0319985	 UDP 49153 > 8100
2	0	0.0320833	 UDP 49153 > 8100
0	1	0.032265	 UDP 49153 > 8100
1	4	0.0324152	 UDP 49153 > 8100
2	0	0.0324999	 UDP 49153 > 8100
0	1	0.0326816	 UDP 49153 > 8100
1	4	0.0328319	 UDP 49153 > 8100
2	0	0.0329166	 UDP 49153 > 8100
0	1	0.0330983	 UDP 49153 > 8100
1	4	0.0332485	 UDP 49153 > 8100
2	0	0.0333333	 UDP 49153 > 8100
0	1	0.033515	 UDP 49153 > 8100
1	4	0.0336652	 UDP 49153 > 8100
2	0	0.0337499	 UDP 49153 > 8100
0	1	0.0339316	 UDP 49153 > 8100
1	4	0.0340818	 UDP 49153 > 8100
2	0	0.0341666	 UDP 49153 > 8100
0	1	0.0343483	 UDP 49153 > 8100
1	4	0.0344985	 UDP 49153 > 8100
2	0	0.0345833	 UDP 49153 > 8100
0	1	0.034765	 UDP 49153 > 8100
1	4	0.0349152	 UDP 49153 > 8100
2	0	0.0349999	 UDP 49153 > 8100
0	3	0.0350199	 TCP 49153 > 8080 ACK Seq=1 Ack=1 Win=32768
0	1	0.0351816	 UDP 49153 > 8100
1	4	0.0353318	 UDP 49153 > 8100
2	0	0.0354166	 UDP 49153 > 8100
0	1	0.0355983	 UDP 49153 > 8100
1	4	0.0357485	 UDP 49153 > 8100
2	0	0.0358333	 UDP 49153 > 8100
0	1	0.036015	 UDP 49153 > 8100
3	0	0.0360204	 UDP 49153 > 8090
1	4	0.0361652	 UDP 49153 > 8100
3	0	0.0362204	 UDP 49153 > 8090
2	0	0.0362499	 UDP 49153 > 8100
3	0	0.0364204	 UDP 49153 > 8090
0	1	0.0364316	 UDP 49153 > 8100
1	4	0.0365818	 UDP 49153 > 8100
3	0	0.0366204	 UDP 49153 > 8090
2	0	0.0366666	 UDP 49153 > 8100
3	0	0.0368204	 UDP 49153 > 8090
0	1	0.0368483	 UDP 49153 > 8100
1	4	0.0369985	 UDP 49153 > 8100
3	0	0.0370204	 UDP 49153 > 8090
0	1	0.0370282	 UDP 49153 > 8090
2	0	0.0370833	 UDP 49153 > 8100
3	0	0.0372204	 UDP 49153 > 8090
0	1	0.0372282	 UDP 49153 > 8090
0	1	0.0373062	 UDP 49153 > 8100
1	4	0.0374152	 UDP 49153 > 8100
3	0	0.0374204	 UDP 49153 > 8090
0	1	0.0374614	 UDP 49153 > 8090
2	0	0.0374999	 UDP 49153 > 8100
3	0	0.0376204	 UDP 49153 > 8090
0	1	0.0376282	 UDP 49153 > 8090
0	1	0.0377062	 UDP 49153 > 8100
3	0	0.0378204	 UDP 49153 > 8090
1	4	0.0378318	 UDP 49153 > 8100
0	1	0.0378614	 UDP 49153 > 8090
2	0	0.0379166	 UDP 49153 > 8100
3	0	0.0380204	 UDP 49153 > 8090
0	1	0.0380282	 UDP 49153 > 8090
0	1	0.0381062	 UDP 49153 > 8100
3	0	0.0382204	 UDP 49153 > 8090
1	4	0.0382485	 UDP 49153 > 8100
0	1	0.0382614	 UDP 49153 > 8090
2	0	0.0383333	 UDP 49153 > 8100
3	0	0.0384204	 UDP 49153 > 8090
0	1	0.0384282	 UDP 49153 > 8090
0	1	0.038515	 UDP 49153 > 8100
3	0	0.0386204	 UDP 49153 > 8090
1	4	0.0386652	 UDP 49153 > 8100
0	1	0.0386702	 UDP 49153 > 8090
2	0	0.0387499	 UDP 49153 > 8100
3	0	0.0388204	 UDP 49153 > 8090
0	1	0.0388282	 UDP 49153 > 8090
0	1	0.0389316	 UDP 49153 > 8100
3	0	0.0390204	 UDP 49153 > 8090
1	4	0.0390818	 UDP 49153 > 8100
0	1	0.0390868	 UDP 49153 > 8090
2	0	0.0391666	 UDP 49153 > 8100
3	0	0.0392204	 UDP 49153 > 8090
0	1	0.0392282	 UDP 49153 > 8090
0	1	0.0393483	 UDP 49153 > 8100
3	0	0.0394204	 UDP 49153 > 8090
1	4	0.0394985	 UDP 49153 > 8100
0	1	0.0395035	 UDP 49153 > 8090
2	0	0.0395833	 UDP 49153 > 8100
3	0	0.0396204	 UDP 49153 > 8090
0	1	0.0396282	 UDP 49153 > 8090
0	1	0.039765	 UDP 49153 > 8100
3	0	0.0398204	 UDP 49153 > 8090
1	4	0.0399152	 UDP 49153 > 8100
0	1	0.0399202	 UDP 49153 > 8090
2	0	0.0399999	 UDP 49153 > 8100
3	0	0.0400204	 UDP 49153 > 8090
0	1	0.0400282	 UDP 49153 > 8090
0	1	0.0401816	 UDP 49153 > 8100
3	0	0.0402204	 UDP 49153 > 8090
1	4	0.0403318	 UDP 49153 > 8100
0	1	0.0403368	 UDP 49153 > 8090
2	0	0.0404166	 UDP 49153 > 8100
3	0	0.0404204	 UDP 49153 > 8090
0	1	0.0404282	 UDP 49153 > 8090
0	1	0.0405983	 UDP 49153 > 8100
3	0	0.0406204	 UDP 49153 > 8090
1	4	0.0407485	 UDP 49153 > 8100
0	1	0.0407535	 UDP 49153 > 8090
3	0	0.0408204	 UDP 49153 > 8090
0	1	0.0408315	 UDP 49153 > 8090
2	0	0.0408333	 UDP 49153 > 8100
0	1	0.041015	 UDP 49153 > 8100
3	0	0.0410204	 UDP 49153 > 8090
1	4	0.0411652	 UDP 49153 > 8100
0	1	0.0411702	 UDP 49153 > 8090
3	0	0.0412204	 UDP 49153 > 8090
0	1	0.0412482	 UDP 49153 > 8090
2	0	0.0412499	 UDP 49153 > 8100
3	0	0.0414204	 UDP 49153 > 8090
0	1	0.0414282	 UDP 49153 > 8090
0	1	0.0415062	 UDP 49153 > 8100
1	4	0.0415818	 UDP 49153 > 8100
3	0	0.0416204	 UDP 49153 > 8090
0	1	0.0416614	 UDP 49153 > 8090
2	0	0.0416666	 UDP 49153 > 8100
3	0	0.0418204	 UDP 49153 > 8090
0	1	0.0418282	 UDP 49153 > 8090
0	1	0.0419062	 UDP 49153 > 8100
1	4	0.0419985	 UDP 49153 > 8100
3	0	0.0420204	 UDP 49153 > 8090
0	1	0.0420614	 UDP 49153 > 8090
2	0	0.0420833	 UDP 49153 > 8100
3	0	0.0422204	 UDP 49153 > 8090
0	1	0.0422282	 UDP 49153 > 8090
0	1	0.0423062	 UDP 49153 > 8100
1	4	0.0424152	 UDP 49153 > 8100
3	0	0.0424204	 UDP 49153 > 8090
0	1	0.0424614	 UDP 49153 > 8090
2	0	0.0424999	 UDP 49153 > 8100
3	0	0.0426204	 UDP 49153 > 8090
0	1	0.0426282	 UDP 49153 > 8090
0	1	0.0427062	 UDP 49153 > 8100
3	0	0.0428204	 UDP 49153 > 8090
1	4	0.0428318	 UDP 49153 > 8100
0	1	0.0428614	 UDP 49153 > 8090
2	0	0.0429166	 UDP 49153 > 8100
3	0	0.0430204	 UDP 49153 > 8090
0	1	0.0430282	 UDP 49153 > 8090
0	1	0.0431062	 UDP 49153 > 8100
3	0	0.0432204	 UDP 49153 > 8090
1	4	0.0432485	 UDP 49153 > 8100
0	1	0.0432614	 UDP 49153 > 8090
2	0	0.0433333	 UDP 49153 > 8100
3	0	0.0434204	 UDP 49153 > 8090
0	1	0.0434282	 UDP 49153 > 8090
0	1	0.043515	 UDP 49153 > 8100
3	0	0.0436204	 UDP 49153 > 8090
1	4	0.0436652	 UDP 49153 > 8100
0	1	0.0436702	 UDP 49153 > 8090
2	0	0.0437499	 UDP 49153 > 8100
3	0	0.0438204	 UDP 49153 > 8090
0	1	0.0438282	 UDP 49153 > 8090
0	1	0.0439316	 UDP 49153 > 8100
3	0	0.0440204	 UDP 49153 > 8090
1	4	0.0440818	 UDP 49153 > 8100
0	1	0.0440868	 UDP 49153 > 8090
2	0	0.0441666	 UDP 49153 > 8100
3	0	0.0442204	 UDP 49153 > 8090
0	1	0.0442282	 UDP 49153 > 8090
0	1	0.0443483	 UDP 49153 > 8100
3	0	0.0444204	 UDP 49153 > 8090
1	4	0.0444985	 UDP 49153 > 8100
0	1	0.0445035	 UDP 49153 > 8090
2	0	0.0445833	 UDP 49153 > 8100
3	0	0.0446204	 UDP 49153 > 8090
0	1	0.0446282	 UDP 49153 > 8090
0	1	0.0447649	 UDP 49153 > 8100
3	0	0.0448204	 UDP 49153 > 8090
1	4	0.0449152	 UDP 49153 > 8100
0	1	0.0449201	 UDP 49153 > 8090
2	0	0.0449999	 UDP 49153 > 8100
3	0	0.0450204	 UDP 49153 > 8090
0	1	0.0450282	 UDP 49153 > 8090
0	1	0.0451816	 UDP 49153 > 8100
3	0	0.0452204	 UDP 49153 > 8090
1	4	0.0453318	 UDP 49153 > 8100
0	1	0.0453368	 UDP 49153 > 8090
2	0	0.0454166	 UDP 49153 > 8100
3	0	0.0454204	 UDP 49153 > 8090
0	1	0.0454282	 UDP 49153 > 8090
0	1	0.0455983	 UDP 49153 > 8100
3	0	0.0456204	 UDP 49153 > 8090
1	4	0.0457485	 UDP 49153 > 8100
0	1	0.0457535	 UDP 49153 > 8090
3	0	0.0458204	 UDP 49153 > 8090
0	1	0.0458315	 UDP 49153 > 8090
2	0	0.0458333	 UDP 49153 > 8100
0	1	0.0460149	 UDP 49153 > 8100
3	0	0.0460204	 UDP 49153 > 8090
1	4	0.0461652	 UDP 49153 > 8100
0	1	0.0461701	 UDP 49153 > 8090
3	0	0.0462204	 UDP 49153 > 8090
0	1	0.0462481	 UDP 49153 > 8090
2	0	0.0462499	 UDP 49153 > 8100
3	0	0.0464204	 UDP 49153 > 8090
0	1	0.0464282	 UDP 49153 > 8090
0	1	0.0465062	 UDP 49153 > 8100
1	4	0.0465818	 UDP 49153 > 8100
3	0	0.0466204	 UDP 49153 > 8090
0	1	0.0466614	 UDP 49153 > 8090
2	0	0.0466666	 UDP 49153 > 8100
3	0	0.0468204	 UDP 49153 > 8090
0	1	0.0468282	 UDP 49153 > 8090
0	1	0.0469062	 UDP 49153 > 8100
1	4	0.0469985	 UDP 49153 > 8100
3	0	0.0470204	 UDP 49153 > 8090
0	1	0.0470614	 UDP 49153 > 8090
2	0	0.0470833	 UDP 49153 > 8100
1	5	0.0471062	 UDP 49153 > 8090
3	0	0.0472204	 UDP 49153 > 8090
0	1	0.0472282	 UDP 49153 > 8090
1	5	0.0473062	 UDP 49153 > 8090
0	1	0.0473062	 UDP 49153 > 8100
3	0	0.0474204	 UDP 49153 > 8090
1	4	0.0474564	 UDP 49153 > 8100
0	1	0.0474614	 UDP 49153 > 8090
2	0	0.0474999	 UDP 49153 > 8100
1	5	0.0475394	 UDP 49153 > 8090
3	0	0.0476204	 UDP 49153 > 8090
0	1	0.0476282	 UDP 49153 > 8090
1	5	0.0477062	 UDP 49153 > 8090
0	1	0.0477062	 UDP 49153 > 8100
3	0	0.0478204	 UDP 49153 > 8090
1	4	0.0478564	 UDP 49153 > 8100
0	1	0.0478614	 UDP 49153 > 8090
2	0	0.0479166	 UDP 49153 > 8100
1	5	0.0479394	 UDP 49153 > 8090
3	0	0.0480204	 UDP 49153 > 8090
0	1	0.0480282	 UDP 49153 > 8090
1	5	0.0481062	 UDP 49153 > 8090
0	1	0.0481062	 UDP 49153 > 8100
3	0	0.0482204	 UDP 49153 > 8090
1	4	0.0482564	 UDP 49153 > 8100
0	1	0.0482614	 UDP 49153 > 8090
2	0	0.0483333	 UDP 49153 > 8100
1	5	0.0483394	 UDP 49153 > 8090
3	0	0.0484204	 UDP 49153 > 8090
0	1	0.0484282	 UDP 49153 > 8090
1	5	0.0485062	 UDP 49153 > 8090
0	1	0.0485149	 UDP 49153 > 8100
3	0	0.0486204	 UDP 49153 > 8090
1	4	0.0486652	 UDP 49153 > 8100
0	1	0.0486701	 UDP 49153 > 8090
1	5	0.0487482	 UDP 49153 > 8090
2	0	0.0487499	 UDP 49153 > 8100
3	0	0.0488204	 UDP 49153 > 8090
0	1	0.0488282	 UDP 49153 > 8090
1	5	0.0489062	 UDP 49153 > 8090
0	1	0.0489316	 UDP 49153 > 8100
3	0	0.0490204	 UDP 49153 > 8090
1	4	0.0490818	 UDP 49153 > 8100
0	1	0.0490868	 UDP 49153 > 8090
1	5	0.0491648	 UDP 49153 > 8090
2	0	0.0491666	 UDP 49153 > 8100
3	0	0.0492204	 UDP 49153 > 8090
0	1	0.0492282	 UDP 49153 > 8090
1	5	0.0493062	 UDP 49153 > 8090
0	1	0.0493483	 UDP 49153 > 8100
3	0	0.0494204	 UDP 49153 > 8090
1	4	0.0494985	 UDP 49153 > 8100
0	1	0.0495035	 UDP 49153 > 8090
1	5	0.0495815	 UDP 49153 > 8090
2	0	0.0495833	 UDP 49153 > 8100
3	0	0.0496204	 UDP 49153 > 8090
0	1	0.0496282	 UDP 49153 > 8090
1	5	0.0497062	 UDP 49153 > 8090
0	1	0.0497649	 UDP 49153 > 8100
3	0	0.0498204	 UDP 49153 > 8090
1	4	0.0499152	 UDP 49153 > 8100
0	1	0.0499201	 UDP 49153 > 8090
1	5	0.0499982	 UDP 49153 > 8090
2	0	0.0499999	 UDP 49153 > 8100
3	0	0.0500204	 UDP 49153 > 8090
0	1	0.0500282	 UDP 49153 > 8090
1	5	0.0501062	 UDP 49153 > 8090
0	1	0.0501816	 UDP 49153 > 8100
3	0	0.0502204	 UDP 49153 > 8090
1	4	0.0503318	 UDP 49153 > 8100
0	1	0.0503368	 UDP 49153 > 8090
1	5	0.0504148	 UDP 49153 > 8090
2	0	0.0504166	 UDP 49153 > 8100
3	0	0.0504204	 UDP 49153 > 8090
0	1	0.0504282	 UDP 49153 > 8090
1	5	0.0505062	 UDP 49153 > 8090
0	1	0.0505983	 UDP 49153 > 8100
3	0	0.0506204	 UDP 49153 > 8090
1	4	0.0507485	 UDP 49153 > 8100
0	1	0.0507535	 UDP 49153 > 8090
3	0	0.0508204	 UDP 49153 > 8090
0	1	0.0508315	 UDP 49153 > 8090
1	5	0.0508315	 UDP 49153 > 8090
2	0	0.0508333	 UDP 49153 > 8100
1	5	0.0509095	 UDP 49153 > 8090
0	1	0.0510149	 UDP 49153 > 8100
3	0	0.0510204	 UDP 49153 > 8090
1	4	0.0511652	 UDP 49153 > 8100
0	1	0.0511701	 UDP 49153 > 8090
3	0	0.0512204	 UDP 49153 > 8090
0	1	0.0512481	 UDP 49153 > 8090
1	5	0.0512482	 UDP 49153 > 8090
2	0	0.0512499	 UDP 49153 > 8100
1	5	0.0513262	 UDP 49153 > 8090
3	0	0.0514204	 UDP 49153 > 8090
0	1	0.0514282	 UDP 49153 > 8090
1	5	0.0515062	 UDP 49153 > 8090
0	1	0.0515062	 UDP 49153 > 8100
3	0	0.0516204	 UDP 49153 > 8090
1	4	0.0516564	 UDP 49153 > 8100
0	1	0.0516614	 UDP 49153 > 8090
2	0	0.0516666	 UDP 49153 > 8100
1	5	0.0517394	 UDP 49153 > 8090
3	0	0.0518204	 UDP 49153 > 8090
0	1	0.0518282	 UDP 49153 > 8090
1	5	0.0519062	 UDP 49153 > 8090
0	1	0.0519062	 UDP 49153 > 8100
3	0	0.0520204	 UDP 49153 > 8090
1	4	0.0520564	 UDP 49153 > 8100
0	1	0.0520614	 UDP 49153 > 8090
2	0	0.0520832	 UDP 49153 > 8100
1	5	0.0521394	 UDP 49153 > 8090
3	0	0.0522204	 UDP 49153 > 8090
0	1	0.0522282	 UDP 49153 > 8090
1	5	0.0523062	 UDP 49153 > 8090
0	1	0.0523062	 UDP 49153 > 8100
3	0	0.0524204	 UDP 49153 > 8090
1	4	0.0524564	 UDP 49153 > 8100
0	1	0.0524614	 UDP 49153 > 8090
2	0	0.0524999	 UDP 49153 > 8100
1	5	0.0525394	 UDP 49153 > 8090
